"Always Show","Always Show"
"Anchor","Anchor"
"Api Key","Api Key"
"bottom","bottom"
"bottom-left","bottom-left"
"bottom-right","bottom-right"
"center","center"
"Click here for Directions","Click here for Directions"
"Contact Map","Contact Map"
"Content","Content"
"Details","Details"
"dynamic","dynamic"
"Enable Map","Enable Map"
"Enable Popup","Enable Popup"
"Google Map","Google Map"
"Latitude","Latitude"
"Leave empty to use default","Leave empty to use default"
"Leave empty to use default. This only works for certain map types","Leave empty to use default. This only works for certain map types"
"left","left"
"Longitude","Longitude"
"Map Type","Map Type"
"MapBox","MapBox"
"Marker","Marker"
"Marker Color","Marker Color",
"Marker Icon","Marker Icon"
"Must be a URL to valid MapBox style","Must be a URL to valid MapBox style"
"Popup","Popup"
"right","right"
"Set whether the popup will always be shown or only displayed on click on the marker","Set whether the popup will always be shown or only displayed on click on the marker"
"Show Store Address","Show Store Address"
"Show Directions Link","Show Directions Link"
"Style URL","Style URL"
"The part of the Popup that should be positioned closest to the coordinates","The part of the Popup that should be positioned closest to the coordinates"
"top","top"
"top-left","top-left"
"top-right","top-right"
"Zoom Level","Zoom Level"
